,Pyruvate_Cyto,Acetyl-CoA,Glutamate_Mito,Glutamate_Cyto,2OG_Mito,Oxaloacetate,Succinate,Asparate,GSH,Glutamine_Mito,Glutamine_Cyto,Succinyl-CoA,L-Cysteine,G3P,Malate,Citrate_Mito,Citrate_Cyto,Lactate,3PG,Glucose,GABA,ItaconicAcid
E3.1.443,0.025276052002282196,0.10083416951649901,0.6884025891365115,-0.3374070627943414,0.613343380757374,-0.33561155692114597,-0.7782055608149824,0.019415784850476986,-0.015768548490127876,0.4253095313142745,-0.3267865008186277,-0.11564431181634865,0.09294892942524524,-0.08235690585205604,0.43543824840680523,0.7445502170710661,0.1922605368009978,0.5490866612301228,0.18406451644770638,0.2190491086151991,0.38184172895067203,-0.451160872958817
E3.1.444,0.3547518643858998,0.06793828478767017,0.2140707636589852,-0.2184720813795656,0.14702687306735762,0.33822447388876264,-0.1076038666902443,0.07614146797938286,-0.03660373076061885,0.39461490669117716,-0.44373921579549624,-0.25423052970230936,0.24017305156242463,0.1938783538820611,-0.31029869798088416,-0.3107790544257657,0.16221625744829585,0.40868155501926384,0.18149788058020422,-0.005616961769040474,0.12977126467231337,0.31520981924653674
E3.1.445,-0.08398326599144182,0.46964484647029664,0.7949381163528131,-0.04096379507929149,-0.0721325051410705,-0.010907572305134616,0.46104726182118627,0.009350678178960209,-0.13452460880328687,0.4464797400583047,-1.0291894694621266,-0.11856526267574877,0.39768896056358316,0.09013430301340039,-0.04007279927950047,0.04374794604484372,0.1897115010180926,0.10572305125221129,0.13946754582004017,0.23768286785548598,-0.2412435571133701,0.17947724620779726
E3.1.447,0.08673211916536325,-0.18456503730282367,0.6379016247845135,-0.4264834184360327,0.45088789138465574,-0.22035971332363882,-0.5137882784331601,0.16449075722290984,-0.32210151489899747,0.4743926194384682,-0.1811750077457186,-0.3548402726981879,0.22829301356053344,0.18663420015807697,0.05783784910139017,0.205487180475601,0.26651843475692566,0.19341751246975905,0.25718131601654687,0.08579098755536396,0.36640022597577004,0.5111497912585552
E3.1.448,0.3970940763923584,-0.16847815099069735,0.7658555162676856,-0.18547473141556248,0.2947079835973131,-0.4621223777535252,-0.03324410077066342,0.07162189506455256,0.06901524532377423,0.48516591550220267,-0.5460192859952252,0.09171273066572116,0.03843931764345876,0.192628587120054,0.31077757564255165,0.6938608401469023,0.14455688057079988,0.09726745451000979,0.03689128538901082,0.12907589561074984,-0.2826293697454518,-0.29743688610216734
E3.2.449,0.4097821248439374,-0.2652330522426286,0.45701049566521745,-0.38108994079086395,0.011482784960940462,-0.08239159186597567,-0.3273030614051196,0.41495075893150357,0.1790848667315491,0.39409953650330143,-0.14516837574225938,-0.20323345678183602,-0.05567843270686601,-0.1890911225075372,-0.017179735876140967,0.34273703365680963,0.1840924638742302,0.24062091792007698,0.169663266572332,0.1908859418981682,0.14625368006459538,0.26538788986626316
E3.2.450,0.0002555212780903926,0.279046922126258,0.39400654432151366,-0.21045692403045196,-0.37677846397860915,-0.023876009085761263,0.06456099148852218,-2.7883244383193617e-05,0.7028597590275514,0.4338807521417979,-0.5440175373801027,-0.19762350694863048,-0.03285571791191744,-0.16535713985234698,0.18136011589792334,0.18717086300050423,0.18187322483331803,-0.05500770200148976,0.28220532007889887,0.18406175228345512,-0.10267060943211373,-0.006492783574614969
E3.2.452,0.4152453384155877,-0.4063749386426623,0.5119225851838725,-0.4587166840798958,0.1409923660069758,-0.5164193566551154,-0.8373745757807018,0.0880498003144877,0.35594317308715684,0.4425203555914625,0.01462634408181085,0.054780886685283026,0.153460711582467,-0.07422085386056337,0.3851166968742552,0.4459849008117012,0.13798108846929524,0.0071328469498504465,0.37025743900113417,0.04288123101628072,0.3974999941639039,0.04843313909941388
E3.2.453,0.20682791370360856,0.4251503369556001,0.82264049019102,-0.35562407109821,0.5050095707061946,0.05267409329590522,-0.17715382523795925,0.1386907813338472,-0.06527559303461555,0.19329346119788604,-0.5231780506747397,-0.5183587658401794,0.21597378487517505,0.01088112072234404,0.4205180337492334,0.3678566673483555,0.28616544960131324,0.20217653049270953,-0.03755256824700309,0.16602427344911175,0.021706896637720074,-0.03362949136387705
E3.2.454,0.013355810202552165,0.5220513022168466,0.36748263253021995,-0.06394773627387135,0.4696762658547545,0.3870600019615422,0.015202653957150147,0.5537993159875672,0.14211754667706855,0.1892533060603373,-0.1960540902262271,-0.27348857123820114,0.26428433948996244,-0.1116967715428096,-0.5861754554332552,-0.10568235180051702,0.19196078025328736,0.19007246620796542,0.17779090274118065,-0.08965106791381316,0.42755408824918295,-0.3127487145452081
