,Histidine,Malate,dUMP,Citrate,Glucose-1-phosphate,Ornithine,Citrate_Cyto,Glutamine,dCDP,Glucose,Methionine,AMP,DolichylphosphateD-mannose,Lactate,2OG,GMP,Hypoxanthine,UDP-N-acetylglucosamine,Propanoyl-CoA,Acetyl-CoA,Putrescine,Deoxyadenosine,Succinate,Cholesterol,Succinyl-CoA,(Glc)3(GlcNAc)2(Man)9(Asn)1,B-Alanine,Lysine,Cysteine,UMP,Pyruvate,Arginine,Pyrimidine,IMP,Choline,Glutathione,Glutamate,Leucine,G3P,Citrulline,ItaconicAcid,Argininosuccinate,Isoleucine,Xanthine,Threonine,3PD,Valine,UDP-glucuronicacid,dTMP,G6P,Proline,Aspartate,Oxaloacetate,Serine,dCMP,XMP,Spermine,(GlcNAc)4(Man)3(Asn)1,AICAR,GABA,Glycine,CDP,"(E,E)-Farnesyl-PP",(Gal)1(GlcNAc)1(Man)1(Ser/Thr)1,PRPP,Dolichylphosphate
E3.1.443,0.15356555878964562,-1.633780480543002,-0.048083422230465925,0.526819055010816,0.10278237386033706,-0.19435302822916734,-0.17596630729183582,0.14869196622584946,0.45761920322246685,0.27375492712903204,-0.2242633194229473,-0.44220430735697613,0.1327145273354038,0.3047135022685804,0.9325654089334293,-0.5762009471455168,0.110913388864186,0.4996773797227797,0.024698329565213895,-0.9926318527194791,0.33132026178847,0.9002727255495786,-1.7564860449347561,1.8191578656111993,-1.3682071085722294,-0.4450387935173794,-2.3420925233663836,0.07947609997846444,-2.8431960001109173,0.35827452792176007,-1.2910565422659,-0.15160450804874664,-0.3231011239023227,0.5853865117643866,0.12699459860770684,1.682329781646902,-2.0837697913012176,0.15903724021228083,0.22556879799478446,-0.007893541184104347,-0.39293605726771963,-0.3336138539434146,-0.40085423971986067,0.22429416908056277,-0.003858058389397012,0.6868835500609403,-0.08978211835763075,-0.4012421634413317,1.6396437588024202,0.7148550315673732,-0.345632944694535,3.032506354531093,-1.450949863084272,3.7279348741498293,-0.3149521447413597,0.25434908775666426,-0.7098706861448547,1.1682084718095325,-0.8078153602160862,0.06312200102336035,-2.7658864772537464,-0.7352015634007772,1.577464578273553,0.4509056401954195,0.483887871310428,0.15000524617979405
E3.1.444,-0.06309792594800212,-1.2230885362727753,0.7407330496199861,-0.3881967413577465,0.33045891128405414,-0.30511194302408023,0.11452550650918836,-0.25409034985431456,0.1281891412265033,0.2788084077700077,0.5589718504066115,-0.19488000787467952,0.48334083626501345,-0.22535724670139207,-1.0599097871291154,-0.8704085335752189,0.6479669256348727,0.8381661152944903,-0.21809933171974283,-1.9188432485021762,0.35467980366667595,-0.020901539213615705,-0.2126768954233232,1.161916949565574,-0.42585054637782893,-0.21329950748927878,-2.0160208904625696,0.10049009052329305,-0.9914126338089186,-0.20851917701016598,-1.1784819713879027,-0.8100750034046245,-0.5697704879397855,0.8530074147385966,-0.4889426421436637,-0.846289123576192,1.4647341461559464,0.033308448910783994,0.05151285031541919,-0.22599505437686562,-0.1885842738617457,-0.30094092651346693,0.5600068674920908,-0.3272409209895803,0.24328655115962605,0.705501526966366,-0.5620721499984926,-0.49536108443372195,-0.6309032516627591,0.8569864305968364,0.05019304167297406,-0.08487346663608131,-0.5303333305736262,1.185641584603907,-0.49801305662261963,0.25425999022062606,0.7658801547413354,0.27109748442575343,-0.4778935028302198,-1.6036490414336244,1.4544449057858744,0.4536419351431975,-0.3315407480509127,0.4544915728353726,0.41757992976672975,0.31435572830375114
E3.1.445,1.0884762066927878,-0.8195612538993592,0.5162752899840766,1.0826239235030588,0.2929249363052455,0.060494743125876715,-0.0695577119336952,0.21172873051763696,0.665149393385148,0.23872581478326205,-0.023948309214233632,-0.06556586225364436,-0.23430967681770076,0.1857895896165891,1.0186616954230918,-0.1816985893090598,0.029262090646112515,-0.06186687555034287,-0.11787031402929427,-2.065287837147496,1.0949097222978423,0.3908245689613621,-0.917339457062523,0.81103562884637,-2.5314175657101057,-0.3404771624187777,-4.009496027613725,-0.35326890712221815,-1.659658024472511,0.06577063585128948,-0.8459363045215068,-0.18173783521119247,-0.6369653763606327,0.8867144601923784,-0.32443443075725276,0.45557065722144774,-1.1062667954183287,0.2704101453956511,-0.017921686576981344,-0.05002086985609333,-0.834047822662485,-0.42761448671521873,0.2531717710439406,0.3515838775658823,0.1353219430232,-0.17746200493857278,-0.06485009467097202,-0.7153969718993263,0.5094615412895719,0.8646534346622292,-0.5764301835021162,2.894789368664766,-2.1415030371938277,2.3773554396040835,-0.40875381511840037,0.28367213633191035,-0.6430898838347371,-0.4216622031084025,-0.08919505525534321,-0.9000711365938736,-1.4815953024528477,-0.05692335237564078,1.734369192516485,0.567164223650244,0.15127799169574052,0.6017323455155161
E3.1.447,0.9307694069262247,0.06729019492599997,0.36802323748869853,0.7601467574648408,0.5863947130996978,0.2628483189037397,0.0753930217383969,0.1863376129683405,-0.36316980560563267,0.09110546524688079,1.2260548992796325,-0.38887308702221457,-0.5345733299972978,-0.4208493882391654,-0.6000126491155859,-0.4879112422419938,0.1891647238116782,0.04762906700024441,0.4938116222157245,-0.8812400588872489,-0.660099590994535,0.1630208536801101,-1.1064611074088906,1.306811327372987,-1.1630698211817319,-0.6369125007774669,-2.109981979016421,0.05108019915198775,-2.186982627270238,-0.9699073735893846,-0.9919825267858097,-0.3878451800231184,-0.8233733615759006,0.27959871684707815,0.24624768743677755,0.5012250248878001,-2.3287008053191953,0.32429602382645584,0.13324764990771865,0.028857909293711126,-0.7353110545762364,-0.2482942928727263,-0.18890491878772536,0.863252834060549,0.1195147895312132,-0.001004678683883875,-0.554690462395169,-0.49439387656471667,0.4839672128888505,0.6186079290855915,-0.5178587579725068,3.0755423319511266,-1.1995801719238335,4.1056329159304905,-0.14406467983183852,0.5861471933603185,0.004277511732248107,1.1118630550476252,-0.04169229205026255,-0.30932469061631207,-1.3853503265031786,-0.16496562430048717,1.6303464663060958,1.9389075661009967,0.9104676472844488,0.3191997007449243
E3.1.448,0.4440495677075232,-0.35417654094243756,0.44236427202438294,0.4030796634599989,0.07295647102750147,-0.16414570675748003,-0.1945340412141472,0.23428159106699153,0.7164050455023164,0.1407691913930167,0.10383528004515563,0.07434855446856936,-0.04222680007285251,-0.48944644013114214,0.4365471580220276,-0.804401883148581,0.6006408630764819,0.7107437438919383,-0.502531747938868,-2.727036926109066,0.2623115816435927,0.39027822495501696,-0.9926497392013002,0.20916334672253178,-0.9922448502753667,-0.24816148415456304,-2.946003251878297,-0.0729620330655375,-2.4694103399290066,0.7335432414507315,-0.21102709393813657,-0.16014183812426197,-0.3061585039077609,0.8032465792847336,0.01496592532113139,1.0973128493572322,-1.056668309243305,0.47598905113041745,0.28528334617370854,-0.03187734868391945,-0.0957169191698587,-0.4821914887636294,-0.33586669193126634,-0.7540284797254432,0.030425076092288617,0.09911114117597575,-0.6386402675858238,0.20671539452210513,0.45978582137494667,0.49189295407485734,-0.7755209972165282,1.7948570222603073,-1.7277189148357435,2.379671449003391,-0.2956366517909359,0.35708519121178234,-0.7375678345306133,1.528484029035389,0.016209461193652325,-0.5129148892285155,-2.5856981272921282,-0.012815326804827928,2.359532430754821,0.6783143857653943,0.30458915312727,-0.6075872526620368
E3.2.449,0.34908784824611827,-0.504670235506861,0.37984686488659525,0.5407701529995004,1.5928006851652106,0.08535194120290124,-0.009715758062536217,0.16628638377274152,0.6665286423016712,0.24471834869967068,0.13578477531113142,-0.29145441806763417,0.5396079157226924,-0.05138008006261885,0.7151712925652266,-0.787586587140422,-0.9699466776350448,-0.013905285067914747,0.28952817924318563,-2.012639155208192,-0.20555629961977098,1.0167408960372952,-0.6960660579530248,0.526896743901097,-0.7889126813672076,-0.9334842628652437,-2.808367403213615,0.19933999905582894,-2.9652334001720244,0.13776545634341697,-1.0425515091822724,-0.9189438129472269,-1.0079313539087364,0.6392854838445885,0.18600056142295085,1.4027751043717402,-2.2059459988962598,0.2850289911029149,-0.0649186742889718,-0.1877811941075982,-0.8859133965821719,0.03467319186454265,0.2872614372258186,0.7937164146636687,0.12309618383352605,-0.054278588287849594,-0.6831288460400513,-0.5432977518996984,0.13917172213976148,0.2421919555741514,-0.44440433300248394,3.355596289385853,-2.0381209933118685,2.793936323499129,-0.743982093030834,0.2245265920213709,0.14235732550543678,1.074015821275156,0.022854204419666013,-0.42285120582476865,-2.304792545786589,0.24977185138056668,1.8679161851809023,-0.05404563851632002,1.0651510797643429,-0.4709103877330273
E3.2.450,-0.06566529931589904,-1.0163966910953786,0.21030327094337628,-0.0897729947599486,1.2157646788890895,0.04959371548820157,0.05096986527222347,-0.18987720790907048,1.3757131928087367,0.2729563818133527,0.13712952319283955,-0.32227881880787956,-0.7542063860191838,0.6090091161201743,-1.3577996834511419,-0.5239468453984295,0.448666428508397,0.30482471622176943,-1.0445366845047488,-1.0185868365771018,-0.30685644571984233,-0.28261179352859134,-0.48180897771150527,1.1716483336008583,-1.8219753353939947,-0.32530554985043614,-1.233701139434526,0.03344447892312924,-1.825172371541231,-0.12238963409602849,-0.432451056773895,-1.2365248157851347,-0.43663686398186613,0.8249075442555727,0.31379409788557244,-0.004085553323097901,0.8217144937245524,0.21037563784435687,-0.07983061104581823,-0.23401273858860283,-0.17381795456306648,0.0737003125814113,0.26618073163783146,0.03432671829870093,0.2694799529174283,0.5509692253505765,0.7742272533950081,-0.6088132940770589,0.2805909206559558,0.16800593909271688,-0.5762235360393051,0.27178501190830606,-0.6350217526552465,2.332819601698995,-0.9610018437578023,-0.2367675448271228,-0.3661057664265521,0.5143296134681885,-0.6787161879442178,-1.1720331884641644,-2.6786150712150363,-0.34347902838575656,0.8700702595149372,1.0761703501259288,0.7515728355073068,0.5987505966799507
E3.2.452,0.10854652303140222,-1.1933164896762083,0.5547912918957794,-0.5496812762261603,-0.35775406774653284,-0.037676222705492035,0.26485762754009734,-0.15272749903691674,0.01778670330531449,-0.12168986829553363,1.2465388082227067,0.21639432178899698,0.18763568853301166,-0.19745742251982423,-1.9539916489637594,-0.37768876619943825,0.16148222527367662,0.808073505137116,-0.46895594814990416,-0.18855219437493725,0.7146049104744859,0.09711351027237514,-0.886628740732559,0.687077677851061,-2.1640224220441384,-0.49587249377675024,-3.8557481682355386,0.08379859080169497,-1.1045507203030884,0.2305009477575718,-1.0960622146270484,-0.4798995395776935,-0.7741768362736363,0.6389809576974201,0.11156749237106811,-0.3923831335500525,1.7815250966612821,0.010942782240575433,-0.051447367192490656,-0.3009580894733688,0.3327388428015532,0.1332796093920161,0.04548440143522392,-0.6917559322510856,0.21379962445992984,0.47131475455700744,-0.21169100201319502,0.17528065178660285,0.5547634468940646,0.7974529739840972,-0.4507757058299436,0.7896771753384684,-0.04001795039063316,2.939595567502866,-0.33779092165148356,-0.13902262724543082,-0.9405825907341792,1.24878636972184,-0.2998860684920323,-1.5836406340672424,-2.616398230826878,0.260360746874407,-0.11957648460981907,0.6910858520633347,0.06837092644346887,0.037366639001472565
E3.2.453,0.7617400545253681,0.00031778407202326386,0.6491664540333448,-0.7390371203559098,0.6653973698810814,0.09709662674099834,0.2411617893443898,0.17541694638131355,1.458650380137014,0.22385106841885172,1.4189434363602855,-0.19120927172374635,-0.09835130022941238,0.1933912306508232,-1.820689368106086,-0.6885773071542685,-0.24145229826941395,0.3146594170138583,-0.3444118126467026,0.047317216886852115,0.13722959978031485,0.5964262903077715,-1.0039115139821182,0.7790418982708696,-2.2244589110576163,-0.5543761591978962,-3.386720889855555,-0.12098788940220365,-1.3959046815690015,-0.9828324644451697,-1.4327004632943587,-0.25505526998258327,-1.0003739148053226,0.67647649636092,-0.2967708371673501,0.2258467200377443,0.47687675228073445,0.03533464942718556,-0.12560667045353746,-0.30610647726834883,0.844630561084082,-0.14681971273704653,0.037420833035381317,0.4285692490726319,-0.0007524456562075788,0.7050555785840055,0.12456647475876981,-0.5160851281652947,0.6431350388856742,0.3222989504785714,-0.4060400462902863,1.6397722569309008,-1.4265730581884435,1.6341026124212261,-0.9390082685475661,0.09211376738035085,-0.6934891863439444,-0.09483063886366083,-0.44855444705856234,-0.9959847393662103,-1.2768968708049744,-0.15215674670585533,0.18246171515391496,0.9318082875097378,0.7949352060170018,0.21160693398236807
E3.2.454,0.8321275933056259,-1.6114787406494782,0.0414741258651839,0.4899516769760215,0.6901866211508951,-0.4240348195394109,0.17943172832861976,0.1044981766603752,1.0999701346792548,0.0797036483210869,0.7997279034017049,-0.21211030071184744,-0.4504510085123274,-0.058879607912986465,-0.4362081009433253,-0.3392234893761483,-0.2599965360468504,-0.3146417613135394,-0.3794649204881666,-0.6584963266061181,0.48860085717049795,-0.3439375689300814,-1.034034389398407,0.860829934588554,-0.7761263437900205,-0.622356234172794,-2.416347479479251,0.11278612344669782,-0.49466951636899825,-0.974137620411255,-1.2374851635234667,-1.3808152692735416,-0.7318809852495668,-0.005027894900137664,-0.06896148594721785,-0.40365009034246047,0.4636038899849586,0.17661418169033283,-0.0337243784505703,-0.02559418443262307,-0.21461654848761957,0.11954151158009751,0.04361003788284833,0.22514736956233888,0.24421824536395453,0.46600336874143544,-0.14861086231163317,-0.40470736521323536,0.37711959202599443,0.5917364933572751,-0.3159387490150405,0.8291354468037186,-1.2875197690299052,1.6243923492600754,-1.0091180868784946,0.8911138935390757,-0.9573383599147023,-0.09136889453733854,-0.6634346756197075,-1.2600539447468044,-1.4509609516557507,-0.025056519302750158,0.7438560044191891,1.6171884756067352,0.3979466027267353,0.6795636360969495
